idx,class,conversation
123,일반 대화,"새로운 샴푸 써보니까 거품이 잘 나
향은 어때?
은은한 꽃향이 나. 머리 감고 나서도 향이 남아있어
좋겠다. 브랜드 뭐야?
유기농 원료 쓰는 브랜드. 자극도 적어서 좋아"
124,일반 대화,"오늘 온라인 강의 들었는데 유익했어
어떤 내용?
마케팅 관련 강의. 실무에 바로 적용할 수 있을 것 같아
시간은 얼마나 돼?
2시간 정도. 집중해서 들으니까 금방 지나갔어"
125,일반 대화,"새로운 이어폰 샀는데 소리 품질이 좋네
유선이야 무선이야?
무선이고, 노이즈 캔슬링 기능도 있어
지하철에서 쓰기 좋겠다
맞아. 주변 소음이 잘 차단돼"
126,일반 대화,"오늘 친구랑 영화 보기로 했는데 뭐 볼지 고민이야
장르는 정했어?
액션이나 코미디 중에서 고민하고 있어
평점 보고 결정하면 어떨까?
그래, 리뷰도 찾아보고 정해야겠어"
127,일반 대화,"새로운 마우스패드 써보니까 마우스 움직임이 부드러워
크기는 어떻게 돼?
큰 사이즈로 샀어. 마우스 공간이 넉넉해서 좋아
재질은 뭐야?
천 소재인데 미끄러지지도 않고 좋아"
128,일반 대화,"오늘 새로운 식당에서 저녁 먹었는데 맛있었어
어떤 음식?
일식집이었는데 초밥이 신선하고 맛있더라
가격은 어땠어?
적당했어. 퀄리티 생각하면 합리적이었어"
129,일반 대화,"새로운 가방 메고 다니는데 수납공간이 많아서 좋아
어떤 스타일이야?
백팩인데 노트북도 들어가고 포켓이 많아
색깔은 뭘로 샀어?
검은색. 어떤 옷이랑 매치해도 무난해"
130,일반 대화,"오늘 헬스장에서 새로운 운동 배웠어
어떤 운동?
TRX 운동. 생각보다 강도가 높더라
재미있었어?
응, 다양한 동작이 있어서 지루하지 않았어"
131,일반 대화,"새로운 책상 의자 샀는데 허리가 편해
기존 거랑 많이 달라?
허리 지지력이 훨씬 좋아. 오래 앉아도 피곤하지 않아
높이 조절도 잘 돼?
응, 세밀하게 조절할 수 있어서 좋아"
132,일반 대화,"오늘 새로운 헤어 제품 써봤는데 윤기가 나네
어떤 제품이야?
헤어 오일인데 발라도 기름지지 않아
향은 어때?
자연스러운 향이라 부담스럽지 않아"
133,일반 대화,"새로운 팟캐스트 들어보고 있는데 재미있어
어떤 주제야?
일상 이야기랑 책 리뷰 하는 방송이야
목소리는 듣기 편해?
응, 진행자 목소리도 좋고 편안해"
134,일반 대화,"오늘 마트에서 새로운 과일 사서 먹어봤어
뭐 샀어?
용과. 처음 먹어봤는데 달콤하고 상큼해
어떤 맛이야?
키위랑 배 섞은 맛 같아. 식감도 독특해"
135,일반 대화,"새로운 세탁 세제 써보니까 옷이 더 부드러워졌어
섬유유연제 성분이 들어있나?
그런 것 같아. 향도 은은하고 좋아
얼룩 제거는 어때?
기존 것보다 깨끗하게 빠지는 것 같아"
136,일반 대화,"오늘 새로운 운전 경로 시도해봤는데 빨랐어
어디로 갔어?
고속도로 대신 국도로 갔는데 막히지 않더라
시간은 얼마나 단축됐어?
20분 정도. 경치도 보면서 갈 수 있어서 좋았어"
137,일반 대화,"새로운 앱으로 배달 주문했는데 빨리 왔네
어떤 앱?
새로 생긴 배달 앱인데 할인도 많이 해줘
음식 맛은 어땠어?
따뜻하게 잘 왔고 맛도 괜찮았어"
138,일반 대화,"오늘 새로운 안경점에서 검사받았는데 친절하더라
시력 변화 있었어?
조금 나빠졌는데 크게 문제없다고 해
새 안경 맞출 거야?
기존 걸로 당분간 쓰기로 했어"
139,일반 대화,"새로운 보조배터리 샀는데 용량이 커서 좋아
몇 번 정도 충전할 수 있어?
핸드폰 3-4번은 충전 가능해
크기는 부담스럽지 않아?
생각보다 가볍고 휴대하기 편해"
140,일반 대화,"오늘 새로운 화장실 용품 사서 교체했어
뭐 바꿨어?
변기 시트랑 매트. 색깔도 바꿔서 분위기가 달라졌어
청소하기는 편해?
기존 것보다 관리하기 쉬워"
141,일반 대화,"새로운 목걸이 사서 착용해보니까 잘 어울려
어떤 스타일이야?
심플한 체인 목걸이. 어떤 옷에도 잘 맞아
금이야 은이야?
은색. 피부 톤이랑 잘 어울리는 것 같아"
142,일반 대화,"오늘 새로운 미용실에서 머리했는데 만족해
어떻게 했어?
염색이랑 컷 같이 했는데 원하던 대로 나왔어
컬러는 뭘로 했어?
자연스러운 브라운. 은은해서 좋아"
143,일반 대화,"새로운 키보드 써보니까 타이핑이 편해
어떤 타입이야?
기계식 키보드인데 키감이 좋아
소음은 많이 나?
조용한 축으로 샀어서 괜찮아"
144,일반 대화,"오늘 새로운 운동 클래스 체험했는데 재미있었어
어떤 운동?
필라테스. 생각보다 운동량이 많더라
등록할 생각이야?
응, 주 2회 정도 다닐 예정이야"
145,일반 대화,"새로운 청소기 사서 써보니까 흡입력이 좋네
무선이야?
응, 무선이라 계단 청소할 때도 편해
배터리는 얼마나 가?
30분 정도 쓸 수 있어. 집 전체 청소하기 충분해"
146,일반 대화,"오늘 새로운 카페에서 디저트 먹었는데 달콤했어
뭐 먹었어?
티라미수. 크림이 부드럽고 맛있더라
커피랑 잘 어울렸어?
응, 아메리카노랑 같이 먹으니까 더 좋았어"
147,일반 대화,"새로운 수영복 사서 수영장 갔는데 편했어
핏은 어때?
딱 맞고 움직이기 편해. 스타일도 괜찮아
수영은 얼마나 했어?
1시간 정도. 오랜만에 해서 피곤해"
148,일반 대화,"오늘 새로운 앱으로 택시 불렀는데 빨리 왔네
기존 앱이랑 뭐가 달라?
요금이 조금 저렴하고 기사님 평점도 볼 수 있어
결제는 편해?
카드 결제 자동으로 돼서 편리해"
