idx,class,conversation
10,일반 대화,"안녕하세요, 헬스장 처음 등록하는데 상담 좀 받을 수 있을까요?
네, 회원님. 이쪽으로 앉으세요. 주로 어떤 운동에 관심 있으신가요? PT도 생각하고 계세요?
아니요, 일단은 유산소랑 기본적인 근력 운동부터 배우고 싶어요."
11,일반 대화,"오늘따라 커피가 유난히 맛있네요.
그쵸? 새로 들여온 원두인데, 산미가 적고 고소한 맛이 특징이에요. 입에 맞으신다니 다행입니다.
네, 정말 맛있어요. 원두 이름이 뭐예요? 집에서도 내려 마시고 싶네요."
12,일반 대화,"어머니, 주말에 저희 집에 오셔서 저녁 식사 같이 하세요.
그래? 아이고, 너희도 바쁜데 뭘. 괜찮아.
아니에요, 저희가 맛있는 거 많이 해놓을게요. 아버님이랑 꼭 같이 오세요. 보고 싶어요.
알겠다, 우리 아들. 그럼 토요일에 갈게. 고맙다."
13,일반 대화,"이 드라마 다음 주가 마지막 회래. 너무 아쉬워.
맞아, 요즘 내 유일한 낙이었는데. 결말은 해피엔딩이겠지?
당연하지! 작가님이 인터뷰에서 해피엔딩이라고 못 박았어. 걱정하지 마."
14,일반 대화,"이 근처에 괜찮은 정형외과 아세요? 어제부터 허리가 너무 아파서요.
아, 저쪽 사거리 건물 3층에 있는 ‘튼튼 정형외과’ 잘 봐요. 의사 선생님이 엄청 친절하시고 설명도 잘해주세요.
정말요? 감사합니다. 지금 바로 가봐야겠어요."
15,일반 대화,"오늘 저녁 메뉴는 된장찌개에 제육볶음 어때?
완전 좋지! 내가 제육볶음 할 테니까, 너는 된장찌개 끓여. 환상의 조합이겠다.
그래! 퇴근하고 바로 장 보러 가자. 두부랑 애호박 사는 거 잊지 마."
16,일반 대화,"신제품 기획안 마감일이 얼마 안 남았는데, 아이디어가 떠오르질 않네요.
너무 한 번에 완벽하게 하려고 해서 그래요. 일단 생각나는 거 다 적어보고, 거기서부터 발전시켜보는 건 어때요?
그것도 좋은 방법이네요. 같이 브레인스토밍 한번 할까요?"
17,일반 대화,"강아지가 자꾸 밥을 안 먹는데 어디 아픈 걸까요?
음, 사료 말고 다른 간식은 잘 먹나요? 혹시 최근에 사료를 바꾼 적은 없으세요?
아, 맞아요! 일주일 전에 새로운 사료로 바꿨어요. 입맛에 안 맞아서 그럴 수도 있겠네요."
18,일반 대화,"요즘 번아웃이 온 것 같아. 아무것도 하기 싫고 무기력해.
너무 앞만 보고 달려와서 그런가 보다. 이번 주말에는 아무 생각 말고 푹 쉬는 게 어때? 맛있는 거 먹고 잠도 푹 자고.
네 말이 맞아. 이번 주말은 나를 위한 시간을 가져야겠어. 위로해줘서 고마워."
19,일반 대화,"이거 제가 직접 만든 쿠키인데, 한번 드셔보세요.
우와, 정말요? 파는 것보다 더 맛있는데요? 어떻게 이렇게 잘 만드세요?
에이, 과찬이세요. 그냥 유튜브 보고 따라 한 거예요. 맛있게 드셔주시니 제가 더 기쁘네요."
20,일반 대화,"오늘 회의 자료 준비 다 됐나요, 김 대리?
네, 부장님. 어제 마무리해서 부장님 메일로 보내드렸습니다. 한번 확인 부탁드립니다.
오, 벌써 보냈어요? 일처리 빠르네. 수고했어요. 내용 보고 피드백 줄게요."
21,일반 대화,"저 다음 달에 이사 가요. 드디어 이 좁은 원룸에서 탈출이에요!
정말? 축하해! 어디로 가는데? 이제 출퇴근 편해지겠다.
네, 회사 근처 오피스텔로 구했어요. 역이랑도 가까워서 너무 좋아요. 집들이하면 꼭 놀러 와!"
22,일반 대화,"이 화분 이름이 뭐예요? 잎이 하트 모양이라 너무 귀여워요.
아, 이건 ‘호야’라는 식물이에요. 공기 정화 능력도 뛰어나고 키우기도 쉬워서 인기가 많아요.
정말요? 저도 하나 키워보고 싶네요. 물은 자주 줘야 하나요?"
23,일반 대화,"오늘따라 유난히 차가 많이 막히네요. 무슨 일 있나요?
그러게 말이에요. 앞쪽에 작은 접촉사고가 있었다는 라디오 방송이 나오더라고요. 저희 조금 늦을 수도 있겠어요.
알겠습니다. 그럼 팀장님께 미리 연락드려 놓는 게 좋겠네요."
24,일반 대화,"이 프로젝트는 우리 팀의 미래가 걸린 일입니다. 다들 조금만 더 힘내봅시다.
네, 팀장님! 좋은 결과 있도록 최선을 다하겠습니다.
특히 박 주임이 아이디어를 많이 내줘서 큰 도움이 되고 있어요. 다 같이 으쌰으쌰해서 꼭 성공시킵시다."
25,일반 대화,"요즘 입맛이 없어서 큰일이야. 뭘 먹어도 맛이 없네.
여름이라 더워서 그런가 봐. 그럴 땐 시원한 냉면이나 메밀소바 같은 게 좋더라. 오늘 점심으로 어때?
오, 냉면 좋지! 갑자기 입맛이 도는 것 같아. 근처 맛집으로 가자."
26,일반 대화,"고객님, 주문하신 아이스 라떼 나왔습니다. 시럽은 필요하시면 저쪽에서 직접 추가하시면 됩니다.
네, 감사합니다. 빨대는 어디에 있나요?
빨대는 바로 옆에 준비되어 있습니다. 맛있게 드세요!"
27,일반 대화,"새로 나온 스마트폰 기능이 정말 많네요. 아직도 다 모르겠어요.
맞아요, 저도 처음엔 적응하느라 힘들었어요. 유튜브에 사용법 영상 많으니까 찾아보세요. 금방 익숙해질 거예요.
아, 그런 방법이 있었군요. 좋은 팁 감사합니다."
28,일반 대화,"오늘 저녁 약속 몇 시였지? 내가 깜빡했네.
7시 반에 강남역 10번 출구 앞에서 보기로 했잖아. 늦지 않게 와!
알았어. 지금 바로 출발하면 시간 맞춰 갈 수 있겠다. 이따 봐!"
29,일반 대화,"이 전시회는 꼭 봐야 해. 내가 제일 좋아하는 작가거든.
우와, 그림 색감이 정말 독특하고 예쁘다. 사진 찍어도 괜찮을까?
응, 플래시만 안 터뜨리면 괜찮다고 적혀있어. 우리 저쪽에서 같이 사진 찍자."
30,일반 대화,"오랜만에 세차하니까 속이 다 시원하네. 차가 완전 새 차가 됐어.
그러게, 먼지가 너무 많았어. 다음엔 자동 세차 말고 우리 손으로 직접 해보는 건 어때?
그것도 재밌겠다. 그럼 다음 주말에 시간 비워 놔. 내가 세차용품 다 챙겨올게."
31,일반 대화,"요즘 너무 피곤해 보여요, 대리님. 주말에 푹 쉬셨어요?
아니요, 주말 내내 조카 돌보느라 더 피곤하네요. 역시 육아는 힘든 것 같아요.
그러셨구나. 그래도 아이들은 예쁘잖아요. 힘내세요! 제가 시원한 커피 한잔 타 드릴게요."
32,일반 대화,"이 소설 책, 다 읽었으면 나 빌려줄 수 있어?
응, 그럼. 거의 다 읽었어. 근데 너 이런 장르도 읽어? 완전 추리 소설이잖아.
그럼! 나 추리 소설 완전 좋아해. 특히 이 작가님 건 다 챙겨봤지. 너무 고마워!"
33,일반 대화,"오늘따라 집중이 잘 안되네. 잠깐 바람 좀 쐬고 올까?
좋아요, 선배. 옥상에 가면 바람도 시원하고 좋더라고요. 저도 같이 가요.
그래, 가자. 5분만 쉬었다가 다시 집중해서 끝내버리자."
34,일반 대화,"이 근처에 주차할 만한 곳이 있을까요?
저기 공영주차장이 있긴 한데, 주말이라 자리가 없을 수도 있어요. 조금 더 가시면 유료 주차장도 하나 있긴 합니다.
감사합니다. 일단 공영주차장부터 가봐야겠네요."
35,일반 대화,"오늘 입은 옷, 색깔이 너무 잘 어울려요. 화사하고 예뻐요.
어머, 정말요? 고맙습니다. 오늘 아침에 뭐 입을까 한참 고민했는데, 그 말 들으니 기분 좋네요.
역시 패션의 완성은 자신감이라니까요. 오늘 하루 종일 기분 좋으시겠어요."
36,일반 대화,"죄송한데, 제가 길을 잘 몰라서요. 시청으로 가려면 어느 방향으로 가야 하나요?
아, 여기서 길 건너서 100번 버스 타시면 바로 앞에 내려줘요. 버스 정류장은 저기 편의점 바로 앞에 있어요.
그렇군요! 정말 감사합니다. 덕분에 길 안 잃어버리고 잘 찾아가겠네요."
37,일반 대화,"오늘따라 날씨가 정말 좋네요. 하늘도 맑고, 바람도 시원하고.
맞아요. 이런 날은 사무실에만 있기 너무 아까워요. 점심 먹고 잠깐 산책이라도 할까요?
너무 좋죠! 맛있는 거 먹고 커피 한잔하면서 공원 걸으면 딱이겠네요."
38,일반 대화,"이 식물은 물을 자주 줘야 하나요?
아니요, 그 식물은 건조하게 키우는 걸 좋아해서 2주에 한 번 정도만 흠뻑 주시면 돼요. 물을 너무 자주 주면 뿌리가 썩을 수 있어요.
그렇군요. 알려주셔서 감사합니다. 잘 키워볼게요."
39,일반 대화,"회의록 정리는 제가 할 테니, 과장님은 먼저 퇴근하세요.
아니야, 같이 하고 가야지. 거의 다 끝나가는데. 김 대리가 도와주면 금방 끝나겠네.
알겠습니다. 그럼 빨리 끝내고 같이 칼퇴하시죠! 저녁은 뭐 드실 거예요?"
40,일반 대화,"요즘 유튜브로 홈트레이닝 따라 하고 있는데, 생각보다 운동이 많이 되더라.
오, 정말? 어떤 채널 보고 하는데? 나도 집에서 간단하게 해보고 싶어서.
‘삐약스핏’이라고 있는데, 설명도 재밌게 해주고 운동 강도도 다양해서 좋아. 너한테 채널 링크 보내줄게."
41,일반 대화,"오늘 우리 부서 회식 메뉴는 뭘로 할까요?
지난번에 고기 먹었으니까 이번엔 회나 해산물 종류 어때요? 근처에 괜찮은 횟집 있나요?
네, 부장님이 아시는 단골집이 있다고 들었어요. 제가 한번 여쭤보고 예약하겠습니다."
42,일반 대화,"이 영화는 꼭 영화관에서 봐야 해. 영상미가 정말 엄청나거든.
평점이 엄청 높던데, 그렇게 재밌어? 주말에 보러 갈까.
응, 절대 후회 안 할 거야. 대신 예매는 미리 해야 할걸? 요즘 인기가 많아서 좋은 자리는 금방 빠지더라고."
43,일반 대화,"새로 이사한 동네는 좀 어때? 살 만해?
응, 조용하고 공원도 가까워서 너무 좋아. 특히 밤에 산책하기가 정말 좋더라.
다행이다. 집들이는 언제 할 거야? 맛있는 거 사 들고 놀러 갈게."
44,일반 대화,"오늘따라 몸이 찌뿌둥하네. 어제 잠을 잘못 잤나.
그럴 땐 스트레칭을 좀 해주면 훨씬 나아져요. 제가 간단한 스트레칭 동작 알려드릴까요?
네, 좋아요. 목이랑 어깨가 너무 뻐근해요. 감사합니다."
45,일반 대화,"이 근처에 ATM 기기 어디에 있는지 아세요?
저기 보이는 은행 건물 1층에도 있고, 길 건너 편의점 안에도 하나 있어요.
아, 그렇군요. 감사합니다. 은행은 곧 문 닫을 시간이니 편의점으로 가야겠네요."
46,일반 대화,"오늘 점심은 제가 살게요. 지난번에 얻어먹었잖아요.
에이, 괜찮은데. 그럼 다음엔 대리님이 사세요. 오늘은 뭘 먹을까요?
글쎄요, 저기 새로 생긴 부대찌개 집 가볼까요? 날씨도 쌀쌀한데 뜨끈한 국물이 좋겠네요."
47,일반 대화,"이 기계 어떻게 사용하는지 아세요? 처음 보는 거라 잘 모르겠네요.
아, 그거요. 여기에 카드를 먼저 대고, 원하시는 메뉴 버튼을 누르면 돼요. 제가 한번 해드릴게요.
와, 감사합니다. 덕분에 쉽게 해결했네요. 정말 친절하시네요."
48,일반 대화,"오늘까지 제출해야 하는 보고서인데, 오타가 너무 많아서 걱정이에요.
제가 한번 봐 드릴까요? 둘이 같이 보면 금방 찾을 수 있을 거예요. 너무 걱정 마세요.
정말요? 너무 감사해요, 주임님. 역시 최고예요!"
49,일반 대화,"주말에 시간 괜찮으면 나랑 같이 쇼핑하러 갈래? 세일하는 곳이 많더라고.
좋아! 나도 마침 살 옷이 좀 있었는데. 어디서 만나서 어디부터 갈까?
오후 2시에 명동역에서 만나서 둘러보는 거 어때? 맛있는 것도 먹고."
50,일반 대화,"고객님, 어떤 문제 때문에 그러시나요? 저희가 도와드릴게요.
인터넷이 갑자기 안돼서요. 아침부터 계속 이러는데 어떻게 해야 하나요?
혹시 공유기 전원은 껐다 켜보셨나요? 대부분은 그렇게 하면 해결되더라고요. 잠시만요, 원격으로 한번 확인해 보겠습니다."
51,일반 대화,"오늘 날씨 정말 변덕스럽네요. 아침에는 맑았는데 갑자기 비가 오네요.
그러게요. 우산 안 챙겨왔는데 큰일 났네요. 금방 그치겠죠?
네, 소나기인 것 같아요. 저기 카페에 잠시 들어가서 비 피했다가 가시죠."
52,일반 대화,"이 프로젝트를 성공적으로 끝낼 수 있었던 건 모두 팀원들 덕분입니다. 정말 감사합니다.
아닙니다, 팀장님이 중심을 잘 잡아주셔서 저희가 잘 따라갈 수 있었습니다. 다들 정말 고생 많으셨어요.
자, 이제 우리 다 같이 회식하러 갑시다! 제가 한턱 크게 쏘겠습니다."
53,일반 대화,"요즘 새로 나온 게임인데, 한번 해볼래? 진짜 재밌어.
무슨 게임인데? 내가 요즘 게임할 시간이 별로 없어서. 재밌으면 시작해볼게.
약간 롤플레잉 같은 건데, 그래픽도 좋고 타격감도 괜찮아. 일단 한번 설치해봐."
54,일반 대화,"혹시 이 근처에 약국 어디에 있는지 아세요? 두통약을 사야 해서요.
이 건물 바로 옆에 하나 있어요. 그런데 지금 시간이 늦어서 문 닫았을 수도 있겠네요.
아, 정말요? 그럼 저기 24시간 편의점에도 상비약 팔지 않을까요? 한번 가봐야겠어요."
55,일반 대화,"과장님, 어제 보내드린 기획안 확인해 보셨어요? 피드백 부탁드립니다.
아, 김 대리. 미안해요. 어제 다른 급한 건이 있어서 아직 확인을 못 했네요. 오늘 오전에 바로 보고 피드백 줄게요.
네, 알겠습니다. 바쁘실 텐데 천천히 보셔도 됩니다. 감사합니다."
56,일반 대화,"우리 강아지가 자꾸 짖어서 고민이야. 이웃들한테 너무 미안해.
혹시 혼자 있는 시간이 길어서 분리불안이 생긴 건 아닐까? 산책은 자주 시켜주는 편이야?
산책은 매일 시켜주는데, 내가 출근하면 거의 혼자 있긴 해. 노즈워크 장난감이라도 사줘야겠다."
57,일반 대화,"이 신입사원, 일도 잘하고 성격도 좋은 것 같지 않아요?
맞아요, 저도 그렇게 생각했어요. 센스도 있고, 먼저 나서서 일을 찾아서 하더라고요. 오랜만에 괜찮은 신입이 들어온 것 같아요.
그러니까요. 우리 팀 분위기도 더 좋아질 것 같아서 기대돼요."
58,일반 대화,"오늘 점심은 뭐 먹지? 맨날 먹는 거라 좀 질리네.
그럼 오늘은 저기 새로 생긴 베트남 음식점 가볼까? 쌀국수도 있고 분짜도 맛있대.
오, 좋아! 새로운 메뉴 도전해보자. 거기 평점도 괜찮더라."
59,일반 대화,"죄송한데, 혹시 펜 좀 빌릴 수 있을까요? 제가 깜빡하고 안 가져와서요.
네, 여기 있습니다. 다 쓰시고 편하게 주세요.
정말 감사합니다. 덕분에 필기할 수 있겠네요. 바로 쓰고 돌려드릴게요."
60,일반 대화,"오늘따라 왜 이렇게 피곤해? 커피를 마셔도 잠이 안 깨네.
어제 늦게 주무셨어요? 피곤할 땐 잠깐 눈이라도 붙이는 게 좋아요. 점심시간에 10분이라도 주무세요.
그래야겠어요. 고마워요. 걱정해주는 건 김 대리밖에 없네."
61,일반 대화,"이 소파, 디자인은 예쁜데 너무 비싸서 고민되네.
요즘 가구 구독 서비스도 잘 나와있던데, 한번 알아보는 건 어때? 초기 비용 부담이 적어서 좋더라고.
아, 그런 것도 있어? 한번 찾아봐야겠다. 좋은 정보 고마워."
62,일반 대화,"오늘 저녁에 시간 괜찮으세요? 간단하게 맥주 한잔하시죠.
좋죠, 부장님. 그럼 제가 맛있는 치킨집 아는데 거기로 갈까요?
그래, 좋아. 7시에 회사 앞에서 보세. 내가 살 테니 부담 갖지 말고."
63,일반 대화,"요즘 유튜브 보는 재미에 푹 빠졌어. 시간 가는 줄 모르겠어.
나도! 어떤 채널 주로 보는데? 나는 요리나 여행 브이로그 많이 봐.
나는 IT 기기 리뷰 채널이나 영화 리뷰 채널. 보다 보면 진짜 똑똑한 사람들 많은 것 같아."
64,일반 대화,"이거 복사 좀 하려고 하는데, 용지가 다 떨어졌네요.
아, 그래요? 제가 창고에서 새 용지 가져다 드릴게요. 잠시만 기다리세요.
감사합니다, 주임님. 덕분에 빨리 끝낼 수 있겠어요."
65,일반 대화,"오늘 날씨가 좋아서 그런지, 기분도 덩달아 좋아지네요.
맞아요. 점심 먹고 다 같이 공원 한 바퀴 돌고 오는 거 어때요? 광합성도 좀 하고.
너무 좋죠! 커피는 제가 살게요. 다들 잠시 쉬었다 해요."
66,일반 대화,"이거 어떻게 하는지 좀 도와줄 수 있어?
어디 보자. 아, 이 부분은 이렇게 하면 돼. 생각보다 간단하지?
와, 너 진짜 잘한다. 나는 한참 헤맸는데. 정말 고마워!"
67,일반 대화,"다음 주에 중요한 발표가 있어서 너무 떨려요.
너무 걱정 마세요. 이 대리님은 충분히 잘 준비했으니까, 분명히 잘 해낼 거예요. 자신감을 가지세요.
감사합니다, 팀장님. 응원해주시니 힘이 나네요. 최선을 다해 보겠습니다."
68,일반 대화,"이 근처에 사진 인화할 수 있는 곳이 있나요?
네, 저기 지하철역 안에 즉석 사진 인화기 있었던 것 같아요. 한번 가보세요.
아, 정말요? 감사합니다. 바로 가봐야겠네요."
69,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
70,일반 대화,"이거 기한이 오늘까지인데, 도저히 다 못할 것 같아요.
혼자 너무 끙끙 앓지 말고, 같이 나눠서 해요. 제가 이 부분 맡아서 할게요.
정말요? 너무 감사해요, 선배님. 덕분에 살았어요. 역시 선배님밖에 없어요."
71,일반 대화,"새로 나온 아이돌 그룹 노래 들어봤어? 노래 좋던데.
아, 나도 들어봤어. 멤버들도 다들 실력 있고 비주얼도 좋아서 금방 뜰 것 같아.
그치? 나 벌써 입덕한 것 같아. 주말에 음악방송 챙겨봐야지."
72,일반 대화,"비가 와서 그런지, 허리가 쑤시네요.
저도요. 이럴 땐 따뜻한 차 한잔 마시면서 몸을 좀 풀어주는 게 좋더라고요. 제가 차 한잔 타 드릴까요?
감사합니다. 덕분에 몸이 좀 풀리는 것 같네요."
73,일반 대화,"이거 어떻게 하는지 아는 사람? 나 좀 알려줘.
제가 알아요. 이 버튼 누르고, 여기서 설정 바꾸면 돼요.
아, 이렇게 하는 거구나. 고마워. 너 아니었으면 한참 헤맬 뻔했네."
74,일반 대화,"오늘따라 일이 손에 안 잡히네. 큰일이다.
너무 스트레스받지 마세요. 잠깐 쉬었다가 하면 오히려 능률이 더 오를 거예요. 옥상 가서 바람이라도 쐬고 오세요.
네, 그래야겠어요. 같이 가실래요, 대리님?"
75,일반 대화,"이 서류, 복사 좀 부탁해도 될까요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드리면 될까요? 바로 해드릴게요.
10부만 부탁드려요. 정말 감사합니다. 덕분에 시간 아꼈네요."
76,일반 대화,"오늘 점심은 뭐예요? 배고파서 현기증 나요.
오늘은 제육볶음이랑 된장찌개래요. 완전 맛있겠네요.
와, 최고의 조합이네요. 빨리 점심시간이 됐으면 좋겠어요."
77,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
78,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
79,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
80,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
81,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
82,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
83,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
84,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
85,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
86,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
87,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
88,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
89,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
90,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
91,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
92,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
93,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
94,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
95,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
96,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
97,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
98,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
99,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
