conversation,true_label,predicted_label,true_label_name,predicted_label_name
"야 찐따! 매점 가서 빵 사와
알았어. 어떤 거 사다줄까?
알아서 내가 좋아하는 걸로 사와 이 찐따야
그럼 돈은.?
돈은 네 돈으로 사야지! 빌린 걸로 치자.
나도 돈 없는데.
네가 알아서 마련해서 사와야지 어쩌라고?
나 정말 돈 없어.
알아서 해. 대신에 다음 시간까지 빵 안 사오면 뒤진다.
알겠어.",1,0,기타 괴롭힘 대화,갈취 대화
"마트 가는데 뭐 필요한 거 있어?
우유랑 빵 좀 사다 줄래?
알겠어. 다른 건?
계란도 떨어져 가. 고마워!",2,1,일반 대화,기타 괴롭힘 대화
"저기요 아저씨.
 누구? 나 말하는 건가?
 네 아저씨 말하는 거예요.
 나 아저씨 아닌데. 왜?
 편의점에서 담배 좀 사다주세요. 돈 줄게요.
 학생 아니야? 담배 피면 안되지.
 학생이든 아니든 무슨 상관인데요. 돈 준다니까요.
 안돼 미성년자는 담배 피면 안돼.
 아 나 좋은 말로 하려했는데 꼭 칼로 협박해야겠어?
 칼이라니. 그거 내려놔!!",4,0,협박 대화,갈취 대화
"뭘 쳐다봐? 기분 나쁘네
왜 그러시는데요.
야 허리 좀 똑바로 펴고! 자세가 그게 뭐야. 눈 깔고 내가 묻는 말에 대답해.
저 학원 가야되는데.
야 내가 지금 너때문에 기분이 나쁘잖아. 어른이 말하는데 태도가 그게 뭐야?
죄송합니다. 빨리 비켜주세요.
사과하면 다야? 이거 아주 웃긴애네. 너 지갑 줘봐. 
지갑 안가지고 다녀요.제가 뭘 잘못했는데요.
애가 거짓말도 잘 못하네. 가만히 있는 사람 기분상하게 했으면 지갑이나 내놓으라고 이년아
죄송해요.",0,1,갈취 대화,기타 괴롭힘 대화
"내가 싯팔 영화 스포하지 말랬지
.
오징어게임 아직 보지도 않았는데 비밀을 알아버렸어 싯팔롬아.
본 줄 알았지 
웃어?
아 장난이지
이 식칼도 장난으로 보임?
아 다음부터는 안한다고 
다음은 없다. 슉.슈슛.슉.슈슉.슉.시팔롬아.
.",4,1,협박 대화,기타 괴롭힘 대화
"이거 미안하게 됐어요.
선생님. 저 더 이상 가망이 없는 건가요.?
숨 쉬고 살아 계시는 데에는 무리는 없습니다.
감사합니다.정말 감사합니다.
평생 사지가 마비된 채로 살아가셔야 합니다.
괜찮습니다.그래도 이렇게 살아갈 수 있게 된 것만으로도 기적이라고 생각합니다.감사합니다.
환자님 가족들 생각하셔야죠. 평생 여기 누워서 가족들 고생시키려구요? 
그렇지만. 선생님께서도 앞이 안 보이는 아이.계속 사랑하시고. 계시잖아요.
그러니까요. 제 아이를 위해서 전 법도 무시할 수있고 두려울 게 없습니다.
네? 선생님 혹시.!? 
아프지 않게 금방 끝내드리겠습니다.죄송합니다.",4,3,협박 대화,직장 내 괴롭힘 대화
"찐따야 너 오늘도 학교 왔어?
응. 학교는 꼭 가라고 부모님께서 말씀하셨어
찐따 부모님 말씀은 잘 듣네? 
으응.
그럼 깔끔하게 좀 씻고 와라 어디서 냄새 난다
미안해 더 깨끗하게 씻을게
그리고 지갑에 돈 좀 넣고 다니고
응 내일은 현금 꼭 챙길게
이거 내 숙제 좀 대신 해 줘라 문제 틀리면 어떻게 되는지 알지?
알겠어. 열심히 할게",1,0,기타 괴롭힘 대화,갈취 대화
"아야 너 머하냐?
숙제 중.
숙제 하지말고 내 심부름이나 해
싫어 나 숙제 할꺼야
숙제가 중요하냐?
응.왜?
참나.어디 한번 해볼까?
왜그래?
왜그려냐구?니가 내 심부름 무시해서 글타 왜?
아 알았어 갔다올게",4,1,협박 대화,기타 괴롭힘 대화
"상진아 형이 이번에 부업 하나 하려고 하는데 좀 도와줄래?
어떤일인데요? 형?
이제 겨울이고 해서 붕어빵 장사 좀 해보려고 하거든
아 괜찮죠 형 같이 장사하자고요?
아니 형이 자금은 대줄테니까 네가 좀 해라
알바라고 생각하면 되나요?
그래 그렇게 생각하고 잘 운영해봐
형 근데 제 월급이나 시급 이런 건 어떻게 되요?
하루 매출의 10퍼센트씩 일급으로 줄게
10퍼센트요? 그건 좀 너무한 거 아니에요?
뭐가 너무해 넌 땡전 한 푼 보태지도 않고 하는건데
차라리 그럼 저도 다른데 가서 정상적으로 알바하죠
뭐?이게 비정상이라는거냐? 형이 하라면 해
노동착취도 아니고 그건 좀 아닌 것 같아요 형 못하겠어요
장난하냐? 너 학교 다닐 때 형이 얼마나 많이 챙겨줬냐
아니 그 얘길 왜꺼내요?
그니까 그냥 하라고
못해요 형
완전 배은망덕한 새끼네 닥치고 해라
저도 돈 벌어야죠
벌게 해준다잖아
아 그 조건에는 절대 못해요
그래? 그럼 너 이동네에서 절대 못 돌아다니게 해줄게
아니 형 왜그래요? 어린애도 아니고
꺼져라 두고봐라 너",1,0,기타 괴롭힘 대화,갈취 대화
"저기요 음식에서 머리카락이 나왔잖아요 환불해주세요
손님 보시는거와 같이 저희 업소는 다 머리에 위생모를 써서 머리카락이 떨어질 일이 업서요 더군다나 염색한분도 없고요
그래서 뭐 제가 넣었다 이말인가요?
아니요 그 말이 아니라 머리카락이 들어갈 경우가 하나도 없다고 알려드리는 겁니다
그래서 뭐가 어떻다고 나 망신줘? 죽고싶어?
영업방해죄로 신고하기전에 나가주세요 경찰부릅니다
한마디만 더 해봐 시발 이 나이프로 니 찔러 버린다
먼저 영업방해 하셨잖아요 저희 업소는 머리카락 들어갈 일이 없다니까요?
그건 니 사정이고 오늘 기분도 안 좋은데 잘 걸렸네 이리와 죽여줄게
왜 그러십니까? 손님들도 있는데 난동 부리지 마세요 진정하시라고요 환불해드릴게요
환불 개나주고 무서워 하던 말던 니들도 움직이면 얘 바로 죽여버린다. 무릎꿇고 싹싹빌어",4,1,협박 대화,기타 괴롭힘 대화
"야 이것들아 나 폭탄 가지고 있다 다들 움직이면 터트린다.
죄 죄송해요
시끄럽고 이 버튼 보이지 내가 여기 손을 갔다 대는 꼴보기 싫으면 돈을 던져
죄송해요 여기
그래 그래야지
당신 이러고도 무사할줄 알아?
뭐 이 자식아 넌 돈을 열배로 내놔
싫다면?
열배에서 안 끝날거야.
아 알겠어요 그만
말들 잘듣네",0,4,갈취 대화,협박 대화
"아! 아줌마 운전을 이렇게 하면 어떻게 해요?
 네? 무슨 일이시죠?
 아줌마가 주차하면서 내 오토바이를 쳤잖아요.
 무슨 소리에요? 이렇게 주차 선 안에 차가 잘 들어가 있는데.
 여기 보세요. 제 오토바이가 이렇게 쓰러져 있잖아요. 아줌마 차가 내 오토바이를 쳤다니까!
 말도 안되는 소리를 이렇게!
 경찰을 불러도 되지만 여기가 또 호텔 주차장이잖아.아줌마를 위해서 내가 싸게 처리할게요. 한 50? 어때요?
 말도 안 되는 소리 하지 마세요.
 그럼 경찰도 부르고 보험회사도 부르고 아줌마 남편도 부를까? 다음주부터 사이좋게 남편하고 운전연수 하면 되겠네.
 이거 완전 사기꾼이네.",0,4,갈취 대화,협박 대화
"야야야 수진이 바람피다 걸렸데.
야 그게 무슨소리야 내가 바람을 왜 펴?
소문 다 났던데? 너 이미 걸레라고?
누가 그래? 내가 바람핀게 아닌데?
어쩌라고 걸레야 너 이제 우리학교 대표걸레됫어 
진짜 너네는 사실도 모르고 소문만 믿는거야?
그러게 처신을 잘하지 그랬어",1,4,기타 괴롭힘 대화,협박 대화
"여보 저 어머니 수발 들기가 힘들어서 그러는데 어머니 요양병원으로 보내면 안될까요?
뭐라고? 이 불효막심한 여편네를 봤네
네 미안해요 하지만 저도 누워만 계시는 어머니 똥오줌 다 받고 벌써 4년이나지났어요
그래서 뭐? 생색이라도 내는거야?
그게 아니라 이제 우리아이들도 손이 많이 갈 시기인데 챙겨야죠.
누가 챙기지 말라해? 어?? 애들도 보고 어머니도 보고 하면 되잖아
그게 아니라 제가 너무 힘들어서 그래요
아 니가 힘드니까 불쌍한 우리엄마 범죄자같이 병원에 집어 넣자고?
그건 뜻은 아니였어요. 그냥 우리모두를 위해서
우리모두가 아니라 너를 위해서겠지 한번만더 그런소리하면 그때는 아내고 뭐고 칵시 정신 차릴때까지 맞을 준비해",4,1,협박 대화,기타 괴롭힘 대화
"손이 아무리 그 모양이라도 그렇지 타자도 너무 늦고 일이 너무 쳐지는거 아닙니까? 낮에 회사에서 씨 때문에 협력업체에서 왜 메일 빨리 안보내주냐고 나한테 난리쳤다고요
 아 저딴에는 빨리 친다고 해도 이게 손이. 말을 안들어서. 죄송합니다.
 아니 답장도 이렇게 늦을 일이냐고. 그냥 장애인들만 모아놓은 회사로 이직하는게 어때요?
 저는 정당하게 입사한거예요.
 아 누가 그거 몰라서 그래요? 그거 그냥 다 허울만 좋은거고 회사에서 국가 지원금 받으려고 고용하는거 몰라요?
 압니다. 그래서 저도 노력 많이 합니다.
 노력만 백날 하면 뭐합니까? 같이 일하는 사람 힘들게 하면 그게 얼마나 민폐인 줄 아세요? 내가 매번 말을 안해서 그렇지 허구한날 씨 뒤치다꺼리 하고 있다고요 내가 당신 뒤치다꺼리하는 사람인줄 알아요? 손 올찮은게 무슨 자랑이라고.
 제가 언제 이게 자랑이라고 했습니까 아. 죄송합니다. 제가 더 분발하겠습니다.
 분발이고 뭐고. 위에다 말할겁니다. 하루이틀도 아니고 내가 힘들어서 안되겠다고요 손 잘려나갈때 양심도 같이 잘려나가버리고 없나 진짜
 정말 말씀이 너무 지나치시네요. 네 그냥 제가 나가겠습니다.",1,3,기타 괴롭힘 대화,직장 내 괴롭힘 대화
"아침에 전화를 받지 말든지 받았으면 제대로 해결을 하든지
죄송합니다
전달하기 힘들면 니 개인 수천에 메모해놓지말고 여기 중앙에다가 써놓든지 전달을 제대로 하든지 손님보고 다 가능하다고 했다며
죄송합니다
욕은 내가 다 듣고 뭐하는 짓이야
죄송합니다 시정하겠습니다
앞으론 아침에 전화를 받지 말든지 받았으면 혼자 독단적으로 말하지말고 나한테 물어보고 해결보고 손님한테 전화해",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"야 너 고객한테 누가 그렇게 대들래 카페 이미지 나빠지면 책임 질거야?
아니 저분이 저한테 음담패설을 하는데 어떻게 가만히 있어요
너 나한테 까지 대들어?
사장님이 그렇게 당하시면 가만히 있을까요?
난 그런일 안당해 봤지만 그냥 무시할것 같은데
뭐라고요 자기 가게인데다 일도 알바한테 다 시키면서 운영하면서
이 새끼가 너 여기 나가고 싶어?
제가 틀린말 했나요? 그리고 어떻게 위로 한마디도 안해줄수 있나요?
너 바보냐 여기가 교육받는 곳이야? 너 그냥 나가
정말 너무하시네요
너 같은 직원 필요없어",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"어이 코털
왜
왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라
나 돈없어
돈없어? 그럼 내가 돈줄께
어
여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라
야 택도없어
야 뒤질래? 쌔벼서라도 갖고와 색키야
야",1,0,기타 괴롭힘 대화,갈취 대화
"야 너 그거 들었냐?
뭐?
아니 걔 있잖아. 이번 프로젝트 망쳐서 엄청 깨졌다잖아.
난 또 뭐라고. 걔 원래 일 못하기로 유명하잖아.
안녕? 다들 여기 있었네?
어이 모지리 아니야?
뭐? 지금 뭐하는거야?
너 말이야 너. 이번에도 실패해서 깨졌다며?
부장님도 참 불쌍하다. 어쩌다 너 같은게 들어와서는.
너네 진짜 너무들 한다.",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"씨 아무래도 편의점 알바를 그만둬야 겠어요.
 네?. 사장님 제가 무슨 잘못이라도 했을까요?
 아니 좀 친절해야지 맨날 무뚝뚝한 표정에 화장도 안하고 나오고.
 하지만 전 지각한 적도 없고 재고 청소도 깔끔히 하고 계산도 잘 했는데 단순히 그 이유만으로 그만둬야 되나요.?
 아니 손님들한테 그런 불편사항이 들어왔어 알바가 너무 무뚝뚝하다고 좀 웃고 화장도 하고 친절해야지
 아. 네.
 오늘까지만 하고 내일부터 안나와도 돼
 아니 사장님 이렇게 급하게 자르신다구요? 저도 다른 알바 알아볼 때까지 기한을 주셔야죠.
 손님 불편사항으로 당장 처리해야 하는데 그럼 어떡해? 난 모르겠고 내일부터 나오지 마세요 이러기 전에 잘 좀 하던가
 . 네 알겠습니다.",1,3,기타 괴롭힘 대화,직장 내 괴롭힘 대화
"어서오세요
안녕하세요
뭐 필요하세요 손님?
.
손님.
나 오늘 잃을 거 없거든. 생각 잘 해
네?.
신고가 무섭고 씨씨티비가 무서웠으면 여기 안 왔어. 살고싶으면 조용히 돈 꺼내서 봉지에 넣어. 
여기요.살려주세요.
유감이야 알바생. 고마워. 생각 잘 해서 살았어.",0,1,갈취 대화,기타 괴롭힘 대화
"비대리 어제 피곤했나봐?
 아 아닙니다!
 아니긴 낯빛이 어두운데?
 흠 그런가요 .?
 아 ! 비대리 혹시 오늘 화장 안 해서 그런가?
 아. 넵.
 비대리도 생얼이랑 많이 다르네
 부장님. 말이 너무 심하신거 아닌가요.?
 말이 심하긴 눈에 보이는 걸 얘기한건데? 난 비대리가 걱정돼서 그러지
 아 . 넵 알겠습니다.",1,3,기타 괴롭힘 대화,직장 내 괴롭힘 대화
"너 내돈 대체 언제갚냐?
미안한데 시간을 좀 줘
너 오늘까지는 준다며
나도 더이상은 못참아
그럼 어떻하라고 지금은 없는데
너희 엄마한테 말해서 받아야겠어
그건 안되 며칠후에 준다니까
니말을 어떻게 믿냐
너같은 놈은 정신좀 차려야돼
경찰서에가자 신고할테니
싫다고 난 안가 배째라",4,1,협박 대화,기타 괴롭힘 대화
"사장님 안녕하세요 출근하셨습니까 생신축하합니다!! 제가 편지도 써왔습니다!
오 편지? 야 감동이다. 한 번 읽어볼게. 음.야 근데 너 글씨체가 왜 이러냐.
아 제가 어릴때부터 글씨가 지렁이 같다는 말은 많이 들었습니다.
정성이 안 들어간거 아니야? 우리 5살 딸이 글씨써도 너보다는 잘 쓸거 같아.
에이 부장님 왜이러세요 그냥 마음만 봐주세요 글의 내용! 제가 거의 3일을 고민하면서 쓴 편지라구요
글의 내용이 눈에 안들어와. 글씨가 너무 이상해서. 야 이정도면 너네 어머니 애 낳고 미역국 안 먹은거 아니야? 너가 그래서 모질라진거지 
사장님. 사장님 생신이라고 제가 선물이랑 편지 하나하나 다 준비한건데 너무하세요.
야 왜 아니 딱 글씨체만 봐도 알 수 있는 게 약간 글씨가 불안정한 게 니네 집안도 완전 불안정했던거 아니냐?
아닙니다. 자꾸 그렇게 얘기 하실거면 돌려주세요. 저도 이런 말 듣고 드리고 싶은 생각 없어요.
야 그래 가져가 가져가 너네 부모도 이렇게 졸렬하지?? 쫄장부 밑에서 나온 애가 뭐 이렇지. 너 글씨체만 봐도 사회생활 되게 못 할거 같은 글씨체야 알아?",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"아! 사장님! 음식에서 이물질이 니왔어요?
네? 그럴리가 없는데
아니 사과는 못할 망정 뭐라구요?
일단 죄송합니다. 그런데 조리 과정에서 이물질이 발생할 일이 없어서요.
이게 지금 사과하는 태도입니까?
다시 한 번 사과드립니다. 음식은 다시 해드리겠습니다.
지금 나 보고 여기서 계속 음식을 먹으라는 거예요? 그냥 환불해주고 정신적 보상까지 해주셔야겠어요.
죄송하지만 그건 좀.
뭐 이런데가 다 있어? 리뷰에 내가 지금 일 다 올리고! 구청에도 신고할거야! 장사 못하게 될 줄 알아!
죄송합니다.제발 그것만은.",0,3,갈취 대화,직장 내 괴롭힘 대화
"야 너 뭐야?
 저요? 저 아세요?
 온라인으로 병신같은 짓 하고 돌아다니면 다야?
 제가 뭐했죠?
 이새끼가? 팀킬 고의로 해놓고 먹튀한다고?
 죄송해요. 몰랐어요.
 이 새끼 인성이 글러먹었네. 인생 그렇게 사니까 쉽지?
 가만히 냅둬 그냥.
 안닥쳐? 호구새끼가 말대꾸까지하네?
 죄송해요.",1,3,기타 괴롭힘 대화,직장 내 괴롭힘 대화
"돈 가져다 이 가방에 담아
네네
허튼 짓 하면 너도 죽고 나도 죽을 줄 알아.
네 여기 있습니다
저 뒤에 금고 열어
금고 열쇠가 저에게 없습니다
받아서 빨리 열어!
아 네네 부장님 열쇠 좀.
빨리빨리 열어서 가져다 담고 너도 엎드려
네네 여기 있습니다 살려 주세요",4,0,협박 대화,갈취 대화
"머해? 나 그것 좀 주라
응? 안돼. 이거 생인선물로 받은거야.
야 어차피 몰라 먹으면 없어지는거 같이 먹자고
안돼. 생일선물이잖아.
좋은 말로 할 때 같이 먹자 어려운 것도 아닌데
이거 동생이랑 먹을거였단 말이야.
머래 친구가 더 좋은거 아님? 잘 먹을게
안돼",4,0,협박 대화,갈취 대화
"치마 너무 짧은 거 아니야?
무릎 길인데요.
아니 앉으면 무릎이 훤히 다 보이잖아. 눈썹도 너무 진하고.
눈썹은 원래 이런 거에요.
원래 눈썹이라고?
네.
그럼 뽑든지 자르든지 해서 좀 정상적으로 맞춰봐. 직장에서 혼자만 너무 튀잖아.
제 눈썹이 비정상인 거에요?
그럼 비정상이지. 다른 직원들도 네 눈썹 다 과하다고 수근거려
업무랑 관련도 없는 건데 너무들 하시네요.",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"승인해주십시오. 
진행하던 사건 손 떼고 세미나 준비나 잘 해.
그럴 순 없는데요.
야 누가 지금 너랑 흥정하자든?
죄송합니다.
하라면 해.
그 분 막아야 합니다. 
너 진짜. 말 안들을래? 완전 찍히게 해줘?
.잘라내야할 게 무엇인지 다시 검토해주십시오.
꼴도 보기 싫으니까 나가.",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"너 뭐하냐? 미쳤냐? 정신 똑바로 안차려?
 죄송합니다.
 대가리에 쳐 들고있는게 없으니까 그러는거 아니야? 정상적인 사고가 안돼? 너 문제있어?
 아닙니다. 죄송합니다.
 내가 저번에 또 이지랄나면 너 죽여버린뎄지? 진짜 죽여줘?
 죄송합니다.
 또 이런거보면 귓구멍이 쳐 막혀있나보지? 내가 전동드릴 가져와서 쑤셔박아줘?
 아닙니다.
 애새끼가 애미애비한테 어떻게 쳐 배웠길래 이래? 부모 뒤졌어?
 아닙니다.
 안뒤졌어? 처신 잘해. 또 이지랄하면 내가 죽여버릴거니까.
 알겠습니다. 다음부턴 안그러겠습니다. 죄송합니다.",4,3,협박 대화,직장 내 괴롭힘 대화
"야 너 돈 가져왔냐?
아니요.오늘은 못 구했습니다.
내가 오늘 돈 필요하다 했잖아
그게 . 용돈을 못 받아서 .
그럼 알아서 구해왔어야지
죄송합니다 .
죄송하면 뭐? 학교생활 힘들고 싶니?
죄송합니다 .내일은 꼭 가져오겠습니다 .
내일도 안가져오면 얼굴도 못 들고 다닐줄 알아
네.알겠습니다 .죄송합니다",0,3,갈취 대화,직장 내 괴롭힘 대화
"야 너 일로 와봐
응 왜?
너 내가 만만해?
아니 왜 무슨일인데?
너 내 뒷담까고 다녔냐?
무슨 소리야 누가그래
누가 그러냐니 진짜냐 
아니 뭔 말도 안되는 소리야
기분 개나빠 좀 쳐 맞자
왜 그래 일단 미안해
너 좀 쳐맞고 정신차리자 아님 너 여동생이나 
아 왜그래 내가 맞을게 미안",4,1,협박 대화,기타 괴롭힘 대화
"어이 박이병이
이병 박.이.병
너는 새꺄 그냥 생긴게 마음에 안 들어 알아?
이병 박.이.병 알아보겠습니다.
알아봤더니?
이병 박.이.병 마음에 안 들게 생긴 것 같습니다.
그걸 아는데 그래 새끼야? 위치로!
위치로!
넌 오늘 마음 들게 생겨질 때 까지 형한테 맞는거다 알겠지?
알겠습니다!!",1,4,기타 괴롭힘 대화,협박 대화
"배가 고프네. 야 너 밥좀 사와
저 공부중인데 .
씨벌늠이 내가 배가 고프다고 귀구녕에 반창고 부치고 다니냐?
독서실에서 이러면 .
쓰벌 뒈지고싶냐? 니가 내가 누군줄 모르지?
.네에
네에?? 하 요고봐라. 알게해조? 모가지 따보까? 지금
아니.그게.
일루와.셰키야. 밥이랑 모가지랑 바꾸게. 빙신
사오겠습니다.",0,1,갈취 대화,기타 괴롭힘 대화
"아빠 나 노트북 사줘
아빠가 이번달엔 좀 힘든데 모아서 3달 뒤에 사주면 안될까?
아 다른 친구들은 다있는데 나만 없단말이야
아이고 우리딸 속상했겠다
말로만 속상하다고 하지말고 사주라고 진짜
미안하다
아니 우리집은 왜이렇게 집구석이 가난해? 왜 이런집에서 나 태어나게 한거야?
딸. 미안해
미안하다고 하지말고 가서 뭐라도 해서 노트북 가져오라고! 사오든가 훔치든가! 안그러면 나 지금 여기서 뛰어내릴거야
딸딸. 왜그래 진정해 아빠가 친구한테라도 돈 빌려볼게",0,1,갈취 대화,기타 괴롭힘 대화
"어허 황금에서 손을 떼시지?
이 녀석 총으로 나를 겨냥하다니
흐흐흐 아쉽지만 우린 여기서 헤어져야겠어
감히 나를 배신하다니!
금을 모조리 넘겨

이봐! 이러고도 무사할 것 같아?
개처럼 네 밑에서 고생한 대가로 이 정도 챙길 수 있잖아?
이런 배은망덕한.!
나라면 그 주둥이를 좀 더 조심해서 놀릴 거야 어서 금을 이리 내!
크윽!",0,4,갈취 대화,협박 대화
"아 너무달아
 네?
너무 달잖아 커피가
아 단거 찾으셔서
아니 그래도 그렇지 혀를 녹일일있어?
아까는 피곤하시다고 최대한 단걸로 해주라고 하셔서
요새 젊은이들은 융통성이 없기로는 일등이라니까! 
.다시 만들어드릴까요?
그럼 이거를 먹으란말이야? 이 설탕덩어리를?
죄송합니다",1,3,기타 괴롭힘 대화,직장 내 괴롭힘 대화
"야
네?
던힐 하나
던힐 뭐 말씀이세요?
아니 주라면 알아서 아무거나 주지
1미리로 드릴까요?
아니 1미리는 너무 약하잖아!!
 아무거나 주시라고하셔서
에이 그래도 돈주고 그렇게 약하거 먹겠나?
그럼뭐로드릴까요?
그거빼고 아무거나줘
.",1,0,기타 괴롭힘 대화,갈취 대화
