class,conversation
일반 대화,"새로 산 스마트폰 어때? 기능 좋아?  
진짜 만족해. 카메라 성능 대박이야.  
오, 나도 바꿀까? 어디서 샀어?  
온라인에서 샀어. 할인 많이 하더라.  
링크 보내줘. 같이 비교해보자.  
좋아, 바로 보낼게!  "
일반 대화,"주말에 한강 갈까? 날씨 좋을 거 같아.  
좋아, 자전거 타면서 놀자.  
오, 재밌겠다. 간식 챙길까?  
응, 샌드위치랑 음료수 챙기자.  
좋아, 10시쯤 만나자. 어디서 만날까?  
여의도 공원 어때?  "
일반 대화,"요즘 운동 뭐해? 건강 챙기고 싶어.  
필라테스 시작했어. 몸이 가벼워져.  
오, 나도 해볼까? 강사 어때?  
친절하고 잘 가르쳐. 무료 체험 있어.  
좋아, 같이 체험해볼까?  
응, 이번 주에 가자!  "
일반 대화,"새로 나온 게임 해봤어? 재밌나?  
응, RPG 게임인데 스토리 좋아.  
오, 나도 다운로드해볼까?  
같이 하면 더 재밌어. 서버 정하자.  
좋아, 오늘 저녁에 시작하자.  
오케이, 링크 보내줄게!  "
일반 대화,"오늘 점심 뭐 먹을까? 뭔가 색다른 거 먹고 싶어.  
타코 어때? 새로 생긴 멕시칸 식당 가자.  
오, 좋네. 매운 거 괜찮아?  
응, 매콤한 거 좋아. 몇 시에 갈까?  
12시 반 어때?  
좋아, 거기서 만나자!  "
일반 대화,"요즘 드라마 뭐 볼까? 추천해줘.  
‘이태원 클라쓰’ 재밌어. 다시 보고 있어.  
오, 박서준 나오는 거? 좋아해.  
맞아, ost도 좋아. 같이 볼래?  
응, 주말에 정주행하자.  
좋아, 간식 챙겨놓자!  "
일반 대화,"새로 산 이어폰 어때? 음질 좋나?  
진짜 좋아. 베이스 쫙 울려.  
오, 나도 하나 살까? 어디서 샀어?  
온라인 몰에서 샀어. 할인하더라.  
링크 보내줘. 같이 비교해보자.  
오케이, 바로 보낼ге!  "
일반 대화,"주말에 뭐할까? 심심해.  
보드게임 카페 갈까? 재밌을 거 같아.  
오, 좋지. 어떤 게임 할까?  
할리갈리 재밌어. 간단하고 웃겨.  
좋아, 3시쯤 어때?  
딜! 거기서 만나자.  "
일반 대화,"요즘 취미로 뭐해? 뭔가 새로 시작하고 싶어.  
나 사진 찍기 시작했어. 풍경 찍는 거 좋아.  
오, 멋지다! 카메라 뭐 써?  
그냥 폰카로 시작했어. 재밌더라.  
나도 해볼까? 같이 나가자.  
좋아, 주말에 찍으러 가자!  "
일반 대화,"어제 친구들이랑 어디 갔어?  
명동 갔어. 쇼핑하고 먹방했지.  
부럽다! 뭐 샀어?  
옷이랑 화장품 좀 샀어.  
다음에 나도 갈래. 언제 또 가?  
이번 주말 어때? 같이 가자!  "
일반 대화,"새로 나온 디저트 카페 갔어?  
응, 갔어. 마카롱 진짜 맛있어.  
오, 나도 가보고 싶다. 어디야?  
강남역 근처야. 같이 갈까?  
좋아, 내일 저녁 어때?  
좋아, 6시쯤 만나자!  "
일반 대화,"요즘 드라마 뭐 봐? 추천해줘.  
‘사이코지만 괜찮아’ 재밌어. 감동적이야.  
오, 김수현 나오는 거지?  
맞아, 연기 최고야. 같이 볼래?  
응, 오늘 저녁부터 시작하자.  
좋아, 넷플릭스 켜놓자!  "
일반 대화,"주말에 뭐할까? 날씨 좋아 보여.  
한강에서 피크닉 어때?  
오, 좋지. 간식 뭐 챙길까?  
샌드위치랑 과일 챙기자.  
좋아, 11시쯤 어때?  
완벽해. 여의도에서 만나자!  "
일반 대화,"새로 산 신발 어때? 편해?  
진짜 편해. 디자인도 예뻐.  
어디서 샀어? 나도 하나 사고 싶어.  
온라인 세일에서 샀어. 링크 보내줄게.  
고마워, 바로 확인해볼게.  
좋아, 같이 쇼핑하자!  "
일반 대화,"요즘 운동 뭐해? 건강 챙기고 싶어.  
조깅 시작했어. 아침에 뛴다.  
오, 나도 해볼까? 코스 어디로 가?  
공원 근처로 뛰어. 같이 갈래?  
좋아, 내일 아침 어때?  
좋아, 7시쯤 만나자!  "
일반 대화,"여행 계획 세웠어? 가을에 어디 가고 싶어?  
제주도 어때? 올레길 걷고 싶어.  
오, 좋네. 숙소는 어디로 할까?  
게스트하우스 괜찮아. 분위기 좋아.  
좋아, 계획 세우자. 언제 갈까?  
10월 어때?  "
일반 대화,"요즘 듣는 음악 뭐야? 추천해줘.  
방탄소년단 새 앨범 듣고 있어.  
오, 타이틀곡 어때? 중독성 있어?  
진짜 좋아. 뮤비도 멋져.  
바로 들어볼게. 같이 콘서트 갈까?  
오, 무조건 가자!  "
일반 대화,"오늘 점심 뭐 먹을까? 배고프네.  
초밥 어때? 근처에 새로 생긴 집 가자.  
오, 좋지. 회도 시킬까?  
응, 신선한 거 먹고 싶어.  
좋아, 12시쯤 갈까?  
딜! 거기서 만나자.  "
일반 대화,"주말에 뭐할까? 심심해.  
보드게임 카페 어때? 재밌을 거야.  
오, 좋네. 어떤 게임 할까?  
우노랑 젠가 재밌어.  
좋아, 2시쯤 어때?  
완벽해. 거기서 만나자!  "
일반 대화,"요즘 취미 뭐해? 새로 시작한 거 있어?  
뜨개질 시작했어. 스카프 만드는 중이야.  
오, 멋지다! 어렵지 않아?  
처음엔 어렵지만 재밌어. 해볼래?  
좋아, 같이 배워보자.  
오케이, 주말에 만나자!  "
일반 대화,"어제 친구들이랑 뭐했어?  
카페에서 수다 떨었어. 분위기 좋았어.  
부럽다! 어떤 카페 갔어?  
홍대에 새로 생긴 곳. 디저트 좋아.  
다음에 나도 갈래. 언제 가?  
내일 어때? 같이 가자!  "
일반 대화,"새로 산 가방 어때? 잘 어울려?  
진짜 예뻐! 어디서 샀어?  
온라인에서 세일하길래 샀지.  
나도 하나 사고 싶다. 링크 보내줘.  
응, 바로 보낼게. 같이 쇼핑 갈까?  
좋아, 주말 어때?  "
일반 대화,"요즘 드라마 뭐 볼까? 추천해줘.  
‘눈이 부시게’ 감동적이야.  
오, 그거 재밌다던데. 어디서 볼 수 있어?  
넷플릭스에 있어. 같이 볼래?  
응, 오늘 저녁부터 시작하자.  
좋아, 준비할게!  "
일반 대화,"주말에 한강 갈까? 날씨 좋을 거 같아.  
좋아, 피크닉 어때?  
오, 좋지. 간식 뭐 챙길까?  
과일이랑 샌드위치 챙기자.  
좋아, 11시쯤 어때?  
딜! 여의도에서 만나자.  "
일반 대화,"새로 산 이어폰 어때? 음질 어때?  
진짜 좋아. 노이즈 캔슬링 최고야.  
오, 나도 하나 살까? 어디서 샀어?  
온라인 몰에서 샀어. 할인하더라.  
링크 보내줘. 같이 비교하자.  
오케이, 바로 보낼게!  "
일반 대화,"요즘 운동 뭐해? 건강 챙기고 싶어.  
요가 시작했어. 마음이 편안해져.  
오, 나도 해볼까? 추천 강사 있어?  
유튜브에 무료 강의 많아.  
좋아, 같이 따라 해보자.  
응, 내일 저녁 어때?  "
일반 대화,"여행 계획 세웠어? 어디 가고 싶어?  
속초 어때? 바다 보고 해산물 먹자.  
오, 좋네. 숙소는 어디로 할까?  
펜션 괜찮아. 분위기 좋아.  
좋아, 계획 세우자. 언제 갈까?  
다음 달 어때?  "
일반 대화,"요즘 듣는 노래 뭐야? 추천해줘.  
블랙핑크 새 앨범 듣고 있어.  
오, 타이틀곡 어때? 중독성 있어?  
진짜 좋아. 뮤비도 멋져.  
바로 들어볼게. 콘서트 갈까?  
오, 무조건 가자!  "
일반 대화,"오늘 점심 뭐 먹을까? 배고프네.  
칼국수 어때? 근처 맛집 가자.  
오, 좋지. 만두도 시킬까?  
응, 찐만두 좋아. 몇 시에 갈까?  
12시 반 어때?  
딜! 거기서 만나자.  "
일반 대화,"주말에 뭐할까? 심심해.  
영화관 갈까? 새로 나온 영화 있어.  
오, 어떤 영화? 재밌어 보여?  
액션 영화야. 트레일러 멋지더라.  
좋아, 3시쯤 어때?  
완벽해. 표 예매할게!  "
일반 대화,"요즘 취미 뭐해? 새로 시작한 거 있어?  
캘리그라피 시작했어. 손글씨 재밌어.  
오, 멋지다! 어렵지 않아?  
처음엔 어렵지만 재밌어. 해볼래?  
좋아, 같이 배워보자.  
오케이, 주말에 만나자!  "
일반 대화,"어제 친구들이랑 뭐했어?  
인사동 갔어. 전통 차 마셨어.  
부럽다! 분위기 어땠어?  
아늑하고 좋았어. 디저트도 맛있어.  
다음에 나도 갈래. 언제 가?  
내일 어때? 같이 가자!  "
일반 대화,"새로 산 옷 어때? 잘 어울려?  
진짜 멋져! 어디서 샀어?  
명동 매장에서 세일하길래 샀지.  
나도 쇼핑 가고 싶다. 같이 갈까?  
좋아, 이번 주말 어때?  
딜! 시간 정하자.  "
일반 대화,"요즘 드라마 뭐 볼까? 추천해줘.  
‘호텔 델루나’ 재밌어. 판타지야.  
오, 아이유 나오는 거지?  
맞아, ost도 좋아. 같이 볼래?  
응, 오늘 저녁부터 시작하자.  
좋아, 준비할게!  "
일반 대화,"주말에 한강 갈까? 날씨 좋을 거 같아.  
좋아, 산책하면서 수다 떨자.  
오, 좋지. 간식 뭐 챙길까?  
커피랑 과자 챙기자.  
좋아, 10시쯤 어때?  
딜! 여의도에서 만나자.  "
일반 대화,"새로 산 스마트폰 어때? 기능 좋아?  
진짜 만족해. 카메라 성능 최고야.  
오, 나도 바꿀까? 어디서 샀어?  
온라인에서 샀어. 할인 많이 하더라.  
링크 보내줘. 같이 비교하자.  
오케이, 바로 보낼게!  "
일반 대화,"요즘 운동 뭐해? 건강 챙기고 싶어.  
헬스장 다니기 시작했어. 재밌어.  
오, 나도 해볼까? 어떤 운동 해?  
웨이트랑 러닝머신. 무료 체험 있어.  
좋아, 같이 체험해볼까?  
응, 내일 저녁 어때?  "
일반 대화,"여행 계획 세웠어? 어디 가고 싶어?  
강릉 어때? 커피거리 가보고 싶어.  
오, 좋네. 숙소는 어디로 할까?  
게스트하우스 괜찮아. 분위기 좋아.  
좋아, 계획 세우자. 언제 갈까?  
11월 어때?  "
일반 대화,"요즘 듣는 노래 뭐야? 추천해줘.  
세븐틴 새 앨범 듣고 있어.  
오, 타이틀곡 어때? 중독성 있어?  
진짜 좋아. 뮤비도 멋져.  
바로 들어볼게. 콘서트 갈까?  
오, 무조건 가자!  "
일반 대화,"오늘 점심 뭐 먹을까? 배고프네.  
비빔밥 어때? 근처 맛집 가자.  
오, 좋지. 계란 추가할까?  
응, 고추장도 듬뿍 넣자.  
좋아, 12시쯤 갈까?  
딜! 거기서 만나자.  "
일반 대화,"주말에 뭐할까? 심심해.  
전시회 갈까? 현대미술 전시 있다던데.  
오, 재밌겠다. 어디서 해?  
동대문 DDP에서. 표 예매할까?  
좋아, 2시쯤 어때?  
완벽해. 같이 가자!  "
일반 대화,"요즘 취미 뭐해? 새로 시작한 거 있어?  
서핑 시작했어. 바다에서 타는 거야.  
오, 멋지다! 어렵지 않아?  
처음엔 어렵지만 재밌어. 해볼래?  
좋아, 같이 배워보자.  
오케이, 주말에 만나자!  "
일반 대화,"어제 친구들이랑 뭐했어?  
북촌 갔어. 한옥 카페 갔지.  
부럽다! 분위기 어땠어?  
아늑하고 차 맛있었어.  
다음에 나도 갈래. 언제 가?  
내일 어때? 같이 가자!  "
일반 대화,"새로 산 신발 어때? 잘 어울려?  
진짜 멋져! 어디서 샀어?  
홍대 매장에서 세일하길래 샀지.  
나도 쇼핑 가고 싶다. 같이 갈까?  
좋아, 이번 주말 어때?  
딜! 시간 정하자.  "
일반 대화,"요즘 드라마 뭐 볼까? 추천해줘.  
‘킹덤’ 재밌어. 좀비 사극이야.  
오, 스릴 있겠다. 어디서 볼 수 있어?  
넷플릭스에 있어. 같이 볼래?  
응, 오늘 저녁부터 시작하자.  
좋아, 준비할게!  "
일반 대화,"주말에 한강 갈까? 날씨 좋을 거 같아.  
좋아, 자전거 타면서 놀자.  
오, 좋지. 간식 뭐 챙길까?  
샌드위치랑 음료수 챙기자.  
좋아, 10시쯤 어때?  
딜! 여의도에서 만나자.  "
일반 대화,"새로 산 이어폰 어때? 음질 어때?  
진짜 좋아. 베이스 쫙 울려.  
오, 나도 하나 살까? 어디서 샀어?  
온라인 몰에서 샀어. 할인하더라.  
링크 보내줘. 같이 비교하자.  
오케이, 바로 보낼게!  "
일반 대화,"요즘 운동 뭐해? 건강 챙기고 싶어.  
클라이밍 시작했어. 재밌어.  
오, 나도 해볼까? 어렵지 않아?  
처음엔 힘들지만 재밌어. 체험해볼래?  
좋아, 같이 가보자.  
응, 내일 저녁 어때?  "
일반 대화,"여행 계획 세웠어? 어디 가고 싶어?  
여수 어때? 밤바다 멋지더라.  
오, 좋네. 숙소는 어디로 할까?  
펜션 괜찮아. 분위기 좋아.  
좋아, 계획 세우자. 언제 갈까?  
다음 달 어때?  "
일반 대화,"요즘 듣는 노래 뭐야? 추천해줘.  
뉴진스 새 앨범 듣고 있어.  
오, 타이틀곡 어때? 중독성 있어?  
진짜 좋아. 뮤비도 멋져.  
바로 들어볼게. 콘서트 갈까?  
오, 무조건 가자!  "
일반 대화,"오늘 점심 뭐 먹을까? 배고프네.  
불고기 어때? 근처 맛집 가자.  
오, 좋지. 밑반찬도 많아?  
응, 다양하고 맛있어. 몇 시에 갈까?  
12시 반 어때?  
딜! 거기서 만나자.  "
일반 대화,"주말에 뭐할까? 심심해.  
플리마켓 갈까? 재밌는 물건 많아.  
오, 좋네. 어디서 열어?  
홍대 근처야. 구경 갈까?  
좋아, 2시쯤 어때?  
완벽해. 같이 가자!  "
일반 대화,"요즘 취미 뭐해? 새ро 시작한 거 있어?  
요리 시작했어. 파스타 만들었어.  
오, 멋지다! 맛있어 보여.  
같이 만들어 먹을래? 재밌어.  
좋아, 주말에 같이 해보자.  
오케이, 레시피 준비할게!  "
일반 대화,"어제 친구들이랑 뭐했어?  
이태원 갔어. 분위기 좋은 바 갔지.  
부럽다! 어떤 메뉴 먹었어?  
칵테일이랑 나초 먹었어.  
다음에 나도 갈래. 언제 가?  
내일 어때? 같이 가자!  "
일반 대화,"새로 산 가방 어때? 잘 어울려?  
진짜 예뻐! 어디서 샀어?  
온라인에서 세일하길래 샀지.  
나도 하나 사고 싶다. 링크 보내줘.  
응, 바로 보낼게. 같이 쇼핑 갈까?  
좋아, 주말 어때?  "
일반 대화,"요즘 드라마 뭐 볼까? 추천해줘.  
‘미스터 션샤인’ 재밌어. 사극이야.  
오, 이병헌 나오는 거지?  
맞아, 스토리 탄탄해. 같이 볼래?  
응, 오늘 저녁부터 시작하자.  
좋아, 준비할게!  "
일반 대화,"주말에 한강 갈까? 날씨 좋을 거 같아.  
좋아, 산책하면서 수다 떨자.  
오, 좋지. 간식 뭐 챙길까?  
커피랑 과자 챙기자.  
좋아, 10시쯤 어때?  
딜! 여의도에서 만나자.  "
일반 대화,"새로 산 스마트폰 어때? 기능 좋아?  
진짜 만족해. 카메라 성능 대박이야.  
오, 나도 바꿀까? 어디서 샀어?  
온라인에서 샀어. 할인 많이 하더라.  
링크 보내줘. 같이 비교하자.  
오케이, сразу 보낼게!  "
일반 대화,"요즘 운동 뭐해? 건강 챙기고 싶어.  
수영 시작했어. 상쾌해.  
오, 나도 해볼까? 어렵지 않아?  
처음엔 힘들지만 재밌어. 체험해볼래?  
좋아, 같이 가보자.  
응, 내일 저녁 어때?  "
일반 대화,"여행 계획 세웠어? 어디 가고 싶어?  
전주 어때? 한옥마을 가보고 싶어.  
오, 좋네. 숙소는 어디로 할까?  
한옥 민박 괜찮아. 분위기 좋아.  
좋아, 계획 세우자. 언제 갈까?  
다음 달 어때?  "
일반 대화,"요즘 듣는 노래 뭐야? 추천해줘.  
에스파 새 앨범 듣고 있어.  
오, 타이틀곡 어때? 중독성 있어?  
진짜 좋아. 뮤비도 멋져.  
바로 들어볼게. 콘서트 갈까?  
오, 무조건 가자!  "
일반 대화,"오늘 점심 뭐 먹을까? 배고프네.  
샤브샤브 어때? 근처 맛집 가자.  
오, 좋지. 야채 많이 먹고 싶어.  
응, 고기도 푸짐해. 몇 시에 갈까?  
12시 반 어때?  
딜! 거기서 만나자.  "
일반 대화,"주말에 뭐할까? 심심해.  
공기놀이 갈까? 재밌는 체험 많아.  
오, 좋네. 어떤 체험 할까?  
VR 체험 재밌어 보이던데.  
좋아, 2시쯤 어때?  
완벽해. 같이 가자!  "
일반 대화,"요즘 취미 뭐해? 새로 시작한 거 있어?  
플라워 클래스 시작했어. 꽃꽂이 재밌어.  
오, 멋지다! 어렵지 않아?  
처음엔 어렵지만 재밌어. 해볼래?  
좋아, 같이 배워보자.  
오케이, 주말에 만나자!  "
일반 대화,"어제 친구들이랑 뭐했어?  
삼청동 갔어. 카페 투어했지.  
부럽다! 어떤 카페 갔어?  
분위기 좋은 곳들. 디저트 최고야.  
다음에 나도 갈래. 언제 가?  
내일 어때? 같이 가자!  "
일반 대화,"새로 산 옷 어때? 잘 어울려?  
진짜 멋져! 어디서 샀어?  
강남 매장에서 세일하길래 샀지.  
나도 쇼핑 가고 싶다. 같이 갈까?  
좋아, 이번 주말 어때?  
딜! 시간 정하자.  "
일반 대화,"요즘 드라마 뭐 볼까? 추천해줘.  
‘슬기로운 의사생활’ 재밌어. 감동적이야.  
오, 조정석 나오는 거지?  
맞아, ost도 좋아. 같이 볼래?  
응, 오늘 저녁부터 시작하자.  
좋아, 준비할게!  "
일반 대화,"야, 오랜만이다! 뭐 하고 지냈어?
그냥 회사 다니고, 평소처럼 바쁘게 지냈지.
이번 주말에 시간 있으면 같이 등산 갈래?
좋아, 집에서만 있으니까 답답하더라.
그럼 토요일 오전에 북악산으로 가볼까?"
일반 대화,"점심 뭐 먹을까? 배가 너무 고파.
나 오늘은 칼국수 먹고 싶어.
칼국수 좋지! 근처에 새로 생긴 집 있던데.
그래 거기 가자. 소주도 한잔 할까?
일하다가 오후에 졸리면 큰일인데 ㅋㅋ 한 잔만 하자."
일반 대화,"시험 잘 봤어?
이번 건 좀 어려웠어. 특히 3번 문제.
나도 그 부분에서 시간을 많이 썼어.
그래도 열심히 했으니까 좋은 결과 나오겠지.
시험 끝났으니까 오늘은 편하게 쉬자."
일반 대화,"어제 본 영화 어땠어?
스토리가 좀 길었지만 연출이 좋았어.
나도 보고 싶었는데 같이 갈 걸 그랬네.
다음 주에 또 볼까? 이번엔 코미디로?
코미디 좋아! 웃으면서 스트레스 풀자."
일반 대화,"오늘 비가 온다던데 우산 챙겼어?
안 챙겼어, 아침에 날이 맑아서.
이따 퇴근할 때 많이 내릴 것 같아.
그럼 집에 어떻게 가지? 버스도 적을 텐데.
내가 우산 하나 여분으로 가지고 갈게, 같이 써."
일반 대화,"직장 생활 어때? 요즘 힘들어 보이네.
프로젝트 마감이 다가와서 조금 스트레스야.
주말에도 일해?
이번 주는 피할 수 없을 것 같아. 보고서가 많아.
그래도 건강 챙기면서 일해. 아프면 더 힘들잖아."
일반 대화,"주말에 부산 다녀왔어.
여행 좋았겠다! 날씨는 어땠어?
맑고 따뜻했어, 해운대에서 산책했지.
나도 다음 달에 제주도 갈 계획이야.
좋겠다! 사진 많이 찍어서 보여줘."
일반 대화,"방금 휴대폰 바꿨어? 새 모델이네.
응, 카메라가 너무 좋아서 샀어.
사진 보여줘! 나도 바꾸고 싶었어.
이렇게 찍었는데 색감이 정말 좋아.
와, 정말 선명하네. 이따 나도 좀 만져보자."
일반 대화,"어제 모임 재미있었어?
네, 친구들이랑 저녁 먹고 노래방도 갔다 왔어.
노래방에서 뭐 불렀어?
90년대 가요 불렀더니 다 같이 따라 부르더라 ㅎㅎ
ㅋㅋ 다음에 나도 같이 가야지."
일반 대화,"새 학기가 시작됐네, 수업 들어보니 어때?
교수님이 친절해서 듣기 편해.
과제는 많아?
이번 주는 가볍지만, 다음부터는 프로젝트가 있을 거야.
우리 같이 스터디 그룹 만들까?"
일반 대화,"동네에 새 카페 생겼다며?
응, 인테리어가 예쁘고 커피도 맛있어.
주말에 거기 가서 책 읽어야겠다.
나도 같이 가도 돼? 요즘 조용한 곳 찾고 있었어.
물론! 같이 가서 수다도 떨자."
일반 대화,"요즘 무슨 책 읽고 있어?
역사 소설 읽고 있는데 몰입이 잘 돼.
나도 그런 거 좋아해, 제목이 뭐야?
“조선의 마지막 밤”이라고, 추천할게.
고마워! 다 읽으면 빌려줄래?"
일반 대화,"저녁에 헬스장 갈 거야?
응, 오늘은 하체 운동하는 날.
나도 같이 가서 런닝머신 좀 달려야겠다.
좋아, 끝나고 사우나도 하고 오자.
최고! 땀도 빼고 힐링하자."
일반 대화,"내일 발표 준비됐어?
PPT는 만들었는데 조금 긴장되네.
차근차근 설명하면 잘 할 거야.
그래도 리허설 한 번 같이 해줄 수 있어?
물론이지, 쉬는 시간에 연습해보자."
일반 대화,"어제 게임 새 버전 나왔대.
응, 그래픽이 업그레이드돼서 화려하더라.
언제 같이 플레이해볼까?
이번 주말에 시간돼, 그때 접속해.
알겠어, 캐릭터도 새로 만들어야지."
일반 대화,"해외여행 가본 적 있어?
대학 때 일본 여행 갔었어.
오, 어디가 제일 기억에 남아?
교토의 고즈넉한 분위기가 좋았어.
나도 꼭 가보고 싶다, 음식도 맛있다더라."
일반 대화,"어제 비빔밥 만들어봤어.
직접 만들어? 어렵지 않던데?
재료 다 넣고 비비면 되니까 간단해.
다음엔 내가 요리해볼게, 레시피 알려줘.
좋아, 나중에 같이 요리하자."
일반 대화,"요즘 잠이 안 와서 힘들어.
왜? 걱정되는 일 있어?
일이 많아서 머리가 복잡한가봐.
자기 전에 따뜻한 우유 한 잔 마셔봐.
그래볼게, 고마워."
일반 대화,"새로 나온 드라마 봤어?
첫 회만 봤는데 배우 연기가 좋더라.
줄거리가 흥미로워? 내용이 어떤데?
스릴러라서 긴장감이 있어, 다음 회가 기대돼.
시간 될 때 봐야겠다."
일반 대화,"집에 반려동물 있어?
고양이 두 마리 키워.
귀엽겠다! 이름이 뭐야?
하나는 미미고 다른 하나는 루루야.
사진 보여줘! 고양이 너무 좋아."
일반 대화,"이번 주말에 전시회 가볼래?
어떤 전시회야?
현대미술전인데 작가들이 참신하대.
미술 관심 많아서 좋다. 언제 같이 갈까?
일요일 오전에 시간 비워둘게."
일반 대화,"친구 생일 선물 뭐 사야 할지 모르겠어.
그 친구가 좋아하는 거 있어?
커피 좋아해서 텀블러나 원두 생각 중이야.
텀블러 실용적이지. 디자인 예쁜 걸로 골라봐.
고마워, 아이디어가 생겼어."
일반 대화,"요즘에도 일기 써?
가끔 생각 정리할 때 쓰지.
좋은 습관이네. 나도 다시 시작해볼까?
하루에 한 줄이라도 써보면 도움이 돼.
그래, 오늘부터 해봐야겠다."
일반 대화,"민수 결혼식 다녀왔어?
응, 결혼식장이 예쁘고 신부도 아름다웠어.
음식은 어땠어? 웨딩 코스에 맛있는 것 많았대.
깔끔하고 맛있었어. 분위기도 따뜻했지.
가슴이 뭉클했겠다."
일반 대화,"다이어트 중이라 식단 신경 쓰고 있어.
어떤 음식 먹어?
아침에는 요거트, 점심은 샐러드, 저녁은 구운 닭가슴살.
꾸준히 하면 효과 있을 것 같아.
응, 운동도 곁들이고 있어."
일반 대화,"지난주에 칭찬 받았다며?
네, 팀 프로젝트 발표에서 상 받았어.
축하해! 준비하느라 고생했잖아.
다 팀원 덕분이지. 다 같이 노력했어.
역시 협업이 중요하네."
일반 대화,"내일 비행기 일찍 출발하는 거지?
응, 아침 7시 비행기야.
공항까지는 어떻게 갈 거야?
새벽에 공항 리무진 버스를 타야겠다.
시간 맞춰서 일어나야겠네."
일반 대화,"컴퓨터 고장났다고 들었어.
갑자기 전원이 안 켜져서 당황했어.
서비스 센터 갔다 왔어?
부품 교체해야 한다더라, 비용이 꽤 나가네.
아쉽다, 빠르게 해결되길 바래."
일반 대화,"어제 산 강아지가 좀 말썽을 피워.
어렸을 때는 다 그런 법이지 ㅋㅋ
슬리퍼 물어뜯어서 몇 개 버렸어.
훈련 조금씩 하면 좋아질 거야.
알겠어, patience 필요해."
일반 대화,"엄마 생신에 뭐 해드릴까?
식당 예약하고 케이크 준비하면 좋지 않을까?
이번엔 집에서 가족끼리 식사하기로 했어.
그럼 엄마가 좋아하는 반찬 요리해야겠네.
응, 오늘 시장 가서 재료 사야겠다."
